,k1,k2,
464,244.38124,226.82803,CNN
465,246.92738,233.18394,CNN
466,245.39159,245.10234,CNN
467,241.78406,244.74745,CNN
468,244.64082,246.01508,CNN
469,243.32281,245.23145,CNN
470,244.58008,244.50615,CNN
471,243.61752,216.40117,CNN
472,243.42525,247.16257,CNN
473,246.96571,242.50847,CNN
474,247.2214,236.55345,CNN
475,249.62177,249.70088,CNN
476,240.73123,236.46945,CNN
477,249.54843,219.36067,CNN
478,248.52092,242.61856,CNN
479,249.85126,234.18631,CNN
480,247.6938,242.94307,CNN
481,241.5268,241.33664,CNN
482,243.47218,247.46227,CNN
483,249.38574,249.83894,CNN
484,246.09189,242.03653,CNN
485,244.13576,244.9864,CNN
486,244.79204,246.38222,CNN
487,249.30936,239.37753,CNN
488,244.56557,226.67213,CNN
489,247.79971,241.95602,CNN
490,248.51152,237.92152,CNN
491,249.81781,232.20633,CNN
492,245.76208,243.05531,CNN
493,246.0502,222.88257,CNN
494,247.36163,243.41351,CNN
495,249.12741,233.6934,CNN
496,247.43805,245.12827,CNN
497,247.38582,240.21083,CNN
498,239.76216,245.25462,CNN
499,245.67381,248.90805,CNN
500,244.1414,249.45271,CNN
501,246.42894,248.47284,CNN
502,245.65163,231.21158,CNN
503,246.8854,246.84706,CNN
504,243.7642,247.51941,CNN
505,244.26756,248.20029,CNN
506,248.29768,243.1134,CNN
507,241.14333,248.00928,CNN
508,247.86273,239.08984,CNN
509,246.61275,245.01239,CNN
510,244.05203,248.92323,CNN
511,246.39218,246.23938,CNN
512,243.5888,247.35294,CNN
513,249.45868,217.19481,CNN
514,247.45032,241.11852,CNN
515,235.3502,240.6713,CNN
516,244.68605,245.79237,CNN
517,244.37201,245.98082,CNN
518,241.315,242.30531,CNN
519,246.59938,240.47244,CNN
520,249.84023,241.27475,CNN
521,247.0604,244.01422,CNN
522,247.81189,221.54892,CNN
523,247.53435,245.18652,CNN
524,243.82474,243.98662,CNN
525,244.38306,246.6769,CNN
526,247.68535,240.30779,CNN
527,243.42389,228.57239,CNN
528,245.9386,248.66878,CNN
529,247.34175,239.5074,CNN
530,242.56906,240.47595,CNN
531,247.22878,249.3785,CNN
532,246.8361,239.8669,CNN
533,247.04274,230.46309,CNN
534,245.43729,231.09335,CNN
535,249.21117,245.16656,CNN
536,244.67201,244.07974,CNN
537,249.23825,231.91219,CNN
538,245.04729,245.80496,CNN
539,249.97238,245.38805,CNN
540,233.986,238.01688,CNN
541,249.05588,242.68143,CNN
542,240.10892,238.8073,CNN
543,244.32996,242.89764,CNN
544,248.28723,242.41121,CNN
545,247.07054,243.11258,CNN
546,240.2322,237.38681,CNN
547,248.94864,247.02577,CNN
548,242.45117,245.52957,CNN
549,249.80263,235.35841,CNN
550,243.07994,247.54787,CNN
551,248.81046,248.90503,CNN
552,246.30319,242.80504,CNN
553,247.41649,229.48622,CNN
554,245.42134,239.35309,CNN
555,235.76791,248.24326,CNN
556,247.71182,244.73535,CNN
557,245.05704,243.69167,CNN
558,244.13441,245.92462,CNN
559,239.39355,249.43245,CNN
560,246.34523,243.16862,CNN
561,241.85794,243.85953,CNN
562,244.01129,238.588,CNN
563,246.28743,230.68666,CNN
564,245.76598,249.0079,CNN
565,245.14772,246.43135,CNN
566,236.85408,240.66841,CNN
567,248.0102,246.39993,CNN
568,246.84604,231.34816,CNN
569,244.60716,241.01424,CNN
570,247.91725,234.34343,CNN
571,249.40503,245.94437,CNN
572,245.71144,233.90868,CNN
573,247.3379,228.77429,CNN
574,246.00648,242.52751,CNN
575,245.40031,236.94199,CNN
576,244.13075,239.68988,CNN
577,249.45183,243.71463,CNN
578,245.74248,242.51974,CNN
579,247.61809,249.55278,CNN
580,249.13704,228.43686,CNN
581,239.5381,242.7494,CNN
582,236.71028,244.95308,CNN
583,241.2753,242.77028,CNN
584,247.32993,233.4879,CNN
585,249.79492,240.50885,CNN
586,244.72781,244.33144,CNN
587,238.27573,247.60242,CNN
588,248.63615,246.39644,CNN
589,248.80042,236.15605,CNN
590,244.57092,246.7184,CNN
591,246.93991,247.53876,CNN
592,245.17448,241.83907,CNN
593,240.21411,246.22641,CNN
594,249.93684,243.22588,CNN
595,246.57628,248.06071,CNN
596,244.05098,230.84138,CNN
597,239.75798,242.36302,CNN
598,249.18835,227.55743,CNN
599,248.7869,243.37312,CNN
600,239.68353,232.89029,CNN
601,249.4639,226.64877,CNN
602,246.43196,243.50772,CNN
603,243.34447,244.83298,CNN
604,248.39238,249.72867,CNN
605,247.0115,242.81192,CNN
606,247.55031,243.76738,CNN
607,238.65242,247.35959,CNN
608,248.04208,248.4875,CNN
609,247.7251,239.52121,CNN
610,244.66017,245.49394,CNN
611,245.63698,242.24142,CNN
612,248.75288,240.11734,CNN
613,247.87141,240.21626,CNN
614,249.7761,234.80162,CNN
615,245.32462,247.07318,CNN
616,248.5831,221.42845,CNN
617,246.83107,244.69994,CNN
618,235.09569,246.15906,CNN
619,244.56134,247.01166,CNN
620,246.63934,227.77248,CNN
621,247.83792,242.06148,CNN
622,247.7942,238.27855,CNN
623,242.70181,243.80002,CNN
624,244.72725,247.39601,CNN
625,248.4228,240.59532,CNN
626,246.194,241.17543,CNN
627,248.55818,249.04916,CNN
628,244.28198,230.16821,CNN
629,244.37233,249.38235,CNN
630,249.11755,239.26764,CNN
631,247.09242,236.17499,CNN
632,245.29219,243.13702,CNN
633,249.74995,243.72249,CNN
634,249.79202,235.61003,CNN
635,239.59842,242.08305,CNN
636,247.82855,245.87662,CNN
637,241.179,245.61673,CNN
638,249.12854,234.75323,CNN
639,247.89597,248.62404,CNN
640,249.91579,234.8908,CNN
641,245.29065,242.2239,CNN
642,249.71344,232.91318,CNN
643,247.47287,247.4383,CNN
644,248.24942,241.6641,CNN
645,241.48514,247.92383,CNN
646,242.5148,240.16508,CNN
647,249.68236,240.52092,CNN
648,245.22145,244.43791,CNN
649,242.98334,235.38156,CNN
650,247.57286,243.51512,CNN
651,247.71887,237.52573,CNN
652,247.00769,242.48822,CNN
653,247.69592,244.25655,CNN
654,239.19534,246.15912,CNN
655,249.72069,234.53342,CNN
656,240.9796,243.80064,CNN
657,246.19556,242.25986,CNN
658,232.66306,249.28906,CNN
659,238.76314,249.22408,CNN
660,247.33502,232.45575,CNN
661,242.12491,245.45926,CNN
662,243.81995,244.44975,CNN
663,246.72801,244.97476,CNN
664,249.05469,226.96434,CNN
665,249.55405,236.67232,CNN
666,245.90785,238.03798,CNN
667,234.62967,247.44206,CNN
668,248.90543,248.87643,CNN
669,245.65858,243.56505,CNN
670,248.66266,240.09872,CNN
671,240.13316,248.278,CNN
672,245.65068,239.97775,CNN
673,248.84447,242.33078,CNN
674,249.64717,243.52141,CNN
675,249.54994,245.77472,CNN
676,245.85088,215.29196,CNN
677,248.72789,231.99754,CNN
678,242.55809,244.44356,CNN
679,247.32295,240.99988,CNN
680,248.89624,249.24503,CNN
681,244.50546,233.95772,CNN
682,245.41457,235.95322,CNN
683,243.2715,240.3874,CNN
684,245.64436,243.25113,CNN
685,248.4474,243.84322,CNN
686,249.84183,230.89926,CNN
687,247.99536,229.76845,CNN
688,248.0196,226.69945,CNN
689,246.70982,249.69006,CNN
690,247.55757,247.27118,CNN
691,246.34575,244.80421,CNN
692,242.50383,239.30235,CNN
693,249.709,230.11424,CNN
694,243.87183,249.84662,CNN
695,248.5967,244.1211,CNN
