,k1,k2
354,249.83733,233.48706
355,249.32382,244.06633
356,249.61125,243.1348
357,249.65247,237.60858
358,249.9938,233.32423
359,249.34683,245.32158
360,249.32024,246.68796
361,249.26799,245.51054
362,249.36755,244.83705
363,249.23293,247.91724
364,249.85873,234.9847
365,249.88518,228.91333
366,249.62779,241.48471
367,249.54955,240.93161
368,249.39194,239.70099
369,249.1225,247.42087
370,249.80441,235.31653
371,249.35303,248.35297
372,249.54282,242.30327
373,249.65868,237.13367
374,249.34024,246.67917
375,249.59198,240.49368
376,249.41026,247.4547
377,249.34692,246.6977
378,249.51161,241.08606
379,249.16554,247.25714
380,249.9003,234.72002
381,249.92859,233.00578
382,249.86737,233.83258
383,249.71107,233.6311
384,249.50052,241.92563
385,249.34085,244.84703
386,249.92111,230.74524
387,249.95804,232.00346
388,249.3305,248.20868
389,249.46101,245.28195
390,249.58522,236.10329
391,249.14395,248.26718
392,249.32541,240.70312
393,249.11841,249.51721
394,249.6772,237.33893
395,249.57988,239.34123
396,249.53304,247.80472
397,249.41937,241.37044
398,249.98996,228.34882
399,249.90517,233.4733
400,249.76773,234.39201
401,249.8866,234.18884
402,249.46574,240.90578
403,249.39937,245.78748
404,249.20319,249.17017
405,249.27937,240.71477
406,249.8941,231.77756
407,249.91144,236.47766
408,249.55128,240.51323
409,249.2694,248.26613
410,249.31992,240.885
411,249.87721,232.56102
412,249.21156,248.64679
413,249.36652,247.1896
414,249.10619,249.47002
415,249.91582,230.9321
416,249.37155,249.95834
417,249.90123,233.65825
418,249.78369,231.66176
419,249.6037,236.25652
420,249.45485,243.24388
421,249.83488,229.62642
422,249.23825,244.65326
423,249.29695,245.97578
424,249.42441,243.38147
425,249.03635,249.31496
426,249.37598,245.69295
427,249.79338,231.5209
428,249.908,231.85536
429,249.73978,229.39319
430,249.53056,240.3755
431,249.55759,243.3304
432,249.60184,244.20995
433,249.34615,245.23473
434,249.38239,241.22842
435,249.36234,244.10751
436,249.90738,233.6208
437,249.42055,243.22723
438,249.27824,240.49832
439,249.91655,230.70734
440,249.31194,247.82864
441,249.76164,235.59378
442,249.83278,233.19621
443,249.33871,248.46834
444,249.82262,231.92723
445,249.96025,229.2762
446,249.37682,239.58821
447,249.64104,238.35092
448,249.20651,248.4321
449,249.37387,246.13678
450,249.25429,246.3986
451,249.90033,231.0788
452,249.37582,243.84718
453,249.58879,239.58426
454,249.96674,230.64995
455,249.71591,240.58301
456,249.94783,233.23102
457,249.20001,246.89232
458,249.78949,232.3351
459,249.31319,245.89919
460,249.51198,239.23898
461,249.4677,242.44365
462,249.48541,242.2909
463,249.71713,238.56639
464,249.97183,231.96698
465,249.26987,246.11836
466,249.19908,245.06992
467,249.15715,247.58585
468,249.83025,233.99681
469,249.96436,230.4077
470,249.7404,235.83969
471,249.43309,242.06538
472,249.34001,244.70964
473,249.44473,241.84802
474,249.7322,232.60332
475,249.95966,231.70377
476,249.90503,237.33638
477,249.88779,233.56
478,249.6309,234.69733
479,249.52574,239.06036
480,249.75987,235.20581
481,249.8169,230.52042
482,249.8966,235.20285
483,249.11897,248.21631
484,249.49962,243.23544
485,249.26341,244.76295
486,249.72934,234.19312
487,249.84383,234.38574
488,249.24503,247.09328
489,249.60394,241.2421
490,249.27722,245.9762
491,249.5256,243.74031
492,249.37811,243.30275
493,249.39464,240.75548
494,249.50569,239.80234
495,249.99625,234.4894
496,249.45265,245.35443
497,249.40314,244.60083
498,249.57356,245.9115
499,249.80118,230.15073
500,249.64127,238.10669
501,249.99706,229.80551
502,249.62878,240.16093
503,249.24257,249.19084
504,249.25438,246.19347
505,249.69667,236.4986
506,249.26678,247.45348
507,249.86934,233.06734
508,249.37059,246.20258
509,249.20961,248.11243
510,249.71272,237.84995
511,249.76453,235.36209
512,248.97797,249.33875
513,249.97595,232.33492
514,249.75716,241.24876
515,249.89423,234.8354
516,249.85687,235.54594
517,249.10596,249.9051
518,249.75262,235.07045
519,249.5278,240.69403
520,249.4372,247.30562
521,249.81618,233.4643
522,249.08679,249.25165
523,249.92108,231.0382
524,249.47511,240.48198
525,249.4291,243.82959
526,249.52026,241.19208
527,249.45042,242.7051
528,249.67883,235.20955
529,249.73758,238.9018
530,249.52376,238.23453
531,249.1875,247.48273
532,249.60263,232.98953
533,249.50375,235.40063
534,249.464,240.33768
535,249.26512,246.64813
536,249.89801,235.83116
537,249.6566,239.80975
538,249.27194,248.57964
539,249.1632,242.33832
540,249.6291,241.68517
541,249.69202,237.59615
542,249.65155,236.74036
543,249.74614,237.31938
544,249.25891,248.63474
545,249.97345,233.02016
546,249.57945,241.74998
547,249.85097,232.56323
548,249.5395,236.14185
549,249.8619,236.63033
550,249.56874,243.27596
551,249.98534,230.44699
552,249.94676,231.59395
553,249.22327,247.49821
554,249.71555,236.66837
555,249.48616,240.5386
556,249.55708,239.95512
557,249.94435,230.00037
558,249.51682,240.48195
559,249.11885,249.90822
560,249.60513,239.62459
561,249.28015,243.79572
562,249.48505,242.50987
563,249.60753,240.19812
564,249.59111,234.6257
565,249.96355,229.58928
566,249.57777,237.55255
567,249.93939,228.34198
568,249.55338,242.12544
569,249.30849,248.76492
570,249.93547,233.93529
571,249.63606,237.26222
572,249.87329,233.42339
573,249.2863,245.03014
574,249.91573,231.58154
575,249.9153,234.34663
576,249.53743,237.38176
577,249.51024,244.552
578,249.22578,246.80206
579,249.99524,231.2194
580,249.44542,249.72884
581,249.39484,248.76465
582,249.56581,236.55261
583,249.79012,232.59624
584,249.36237,242.00703
585,249.18933,247.29163
586,249.59036,241.07428
587,249.44278,239.56189
588,249.90634,234.63649
589,249.06541,247.96765
590,249.56163,241.17545
591,249.4255,245.13382
592,249.30156,244.13622
593,249.96284,230.5519
594,249.3535,243.1263
595,249.28249,244.33304
596,249.7054,237.13866
597,249.62286,242.6313
598,249.29073,242.4399
599,249.31384,247.27396
600,249.56708,247.51372
601,249.84991,236.01627
602,249.95914,230.35767
603,249.24469,248.91345
604,249.27318,244.39767
605,249.91336,234.36021
606,249.33781,245.1818
607,249.42067,242.61812
608,249.87627,232.93858
609,249.21027,246.69806
610,249.134,248.9934
611,249.94933,233.61388
612,249.1994,246.65208
613,249.90057,237.2528
614,249.51422,242.58453
615,249.83342,235.21346
616,249.69907,237.22154
617,249.87912,234.84825
618,249.27994,246.5431
619,249.66275,241.95236
620,249.54686,239.27756
621,249.42073,245.44896
622,249.76158,240.04897
623,249.52498,236.99191
624,249.45752,238.85995
625,249.47552,240.50002
626,249.58116,243.03348
627,249.34407,244.7842
628,249.33395,246.25885
629,249.68828,238.38435
630,249.94885,235.13911
631,249.30812,248.8918
632,249.32928,246.47734
633,249.43289,242.33258
634,249.80238,235.70915
635,249.53737,239.84248
636,249.57536,237.9736
637,249.15672,246.92928
638,249.36308,243.2894
639,249.4186,242.14902
640,249.26749,248.98897
641,249.35985,243.10751
642,249.9595,227.47836
643,249.22931,246.2314
644,249.17903,245.9557
645,249.6653,239.70448
646,249.5293,240.16985
647,249.48871,244.69481
648,249.62125,236.379
649,249.36107,243.15892
650,249.24551,246.64743
651,249.69194,238.83043
652,249.71744,235.75334
653,249.38704,245.37894
654,249.75635,238.33467
655,249.49075,243.80266
656,249.32117,243.24484
657,249.33371,249.5115
658,249.79614,234.17183
659,249.33578,246.70694
660,249.83205,236.3987
661,249.37808,242.27379
662,249.59874,235.87825
663,249.51076,238.20078
664,249.53307,240.59076
665,249.39037,245.14616
666,249.2614,244.95547
667,249.74478,236.8285
668,249.43713,242.14218
669,249.50249,239.36478
670,249.69514,234.27376
671,249.88533,235.77264
672,249.8309,233.13148
673,249.5629,241.45091
674,249.76562,235.61569
675,249.50722,240.0562
