,k1,k2
351,245.837,233.05084
352,248.20786,228.99583
353,240.07683,238.65
354,241.5982,234.10616
355,246.00337,232.3612
356,220.32475,163.17966
357,242.84982,227.08963
358,248.77098,222.6542
359,242.71507,226.64053
360,240.46075,240.34052
361,242.12732,237.4201
362,242.88643,231.45871
363,241.74086,231.98846
364,240.2953,231.32349
365,241.10153,240.64896
366,246.22795,230.50148
367,238.8269,247.46367
368,239.78769,243.67729
369,242.01575,236.65965
370,241.64322,226.92473
371,241.7441,235.99005
372,245.59732,225.85779
373,242.31833,233.20045
374,239.96327,238.5745
375,247.50122,228.8035
376,247.98843,218.22144
377,244.82187,225.31328
378,243.54309,236.03864
379,247.44705,230.77985
380,249.2537,230.2337
381,247.74799,231.23264
382,241.87839,235.16238
383,242.73618,237.77402
384,241.9401,227.74559
385,244.68237,218.40973
386,245.0302,230.23628
387,246.49005,230.10094
388,241.07417,223.27911
389,240.90836,240.60597
390,246.25241,231.04352
391,239.45781,244.29817
392,240.7429,244.04555
393,240.44856,210.68732
394,245.53159,228.4585
395,247.96017,230.9159
396,241.44241,231.12169
397,244.70653,227.97282
398,245.30893,230.48285
399,240.22412,217.59358
400,242.56485,230.7172
401,243.54875,224.4146
402,239.87262,239.3831
403,241.07861,227.0871
404,242.60382,227.83047
405,241.24452,230.66953
406,242.59933,235.74118
407,246.8031,238.248
408,240.97504,226.45934
409,243.57146,223.10246
410,240.05002,217.5855
411,246.31549,230.54916
412,241.50378,231.56717
413,244.44467,234.06923
414,240.05563,220.48024
415,241.13083,187.77307
416,244.1554,228.5112
417,241.10576,235.1039
418,239.76454,242.23451
419,241.00786,224.01132
420,249.50096,224.25032
421,244.06339,230.69926
422,240.76186,225.76376
423,243.7099,231.07132
424,241.22418,224.5781
425,243.6048,233.54279
426,243.99838,236.77011
427,248.98958,235.29771
428,248.97977,234.03603
429,243.3781,236.7
430,242.66476,228.78853
431,240.46767,233.6734
432,242.66129,224.13576
433,241.4843,235.89763
434,241.00162,218.64905
435,240.50972,222.34108
436,239.48193,241.97887
437,241.29762,222.56477
438,244.43675,224.09239
439,240.4601,227.91704
440,245.05301,238.4768
441,239.6978,238.72789
442,241.11272,233.46356
443,241.47346,228.788
444,249.28142,228.79118
445,243.7,228.62651
446,244.31755,233.86188
447,245.11566,227.91797
448,240.9546,232.31564
449,239.86122,225.65681
450,240.57715,241.0481
451,239.58868,245.90054
452,241.66864,233.12164
453,247.38138,227.02412
454,242.49905,225.6642
455,239.18243,244.11641
456,241.181,231.6847
457,243.87823,234.08653
458,242.17084,227.74232
459,242.50565,230.36967
460,240.167,230.1506
461,242.22801,234.13431
462,244.81622,230.6635
463,247.28224,233.24126
464,245.27824,225.8432
465,240.17834,234.90819
