,k1,k2
391,229.70659,243.45663
392,215.81857,243.78761
393,227.17378,244.85458
394,223.59497,246.6284
395,239.10269,245.61823
396,227.52335,242.40862
397,217.91138,246.42415
398,220.88197,243.4289
399,217.8004,245.01755
400,219.56902,246.97227
401,229.34048,244.18402
402,222.5274,242.14352
403,233.58807,244.25854
404,226.96397,243.64374
405,217.19794,247.22746
406,223.83698,243.11542
407,222.20093,242.43925
408,218.10867,245.92343
409,226.1887,243.45486
410,217.7861,249.89551
411,219.44888,247.90594
412,221.52643,247.89285
413,219.84216,246.44595
414,215.83446,248.75343
415,223.42497,243.06064
416,221.46797,245.31197
417,224.85524,247.43564
418,233.95514,244.12712
419,220.2345,246.22119
420,237.77924,244.80687
421,243.52151,246.7772
422,218.74496,242.83902
423,221.00294,243.27835
424,222.07726,244.77104
425,237.92148,244.21869
426,229.70203,243.18253
427,238.93222,245.27596
428,217.4423,248.32265
429,222.67012,241.65329
430,221.58484,244.82352
431,223.91496,243.43723
432,216.46072,240.91243
433,239.7797,245.66637
434,223.56807,249.19994
435,218.89725,240.56757
436,225.41077,242.29819
437,240.36398,245.83502
438,220.1658,247.2855
439,218.91617,243.99594
440,221.89137,243.08357
441,226.5825,241.98692
442,227.474,249.25876
443,220.53941,244.48302
444,220.47829,242.71869
445,240.57207,246.30194
446,218.88853,242.64914
447,235.93286,244.65047
448,228.04459,243.61908
449,235.01889,244.74408
450,227.68689,241.48892
451,217.60184,240.88237
452,219.86694,247.1759
453,220.29095,242.55536
454,221.95226,243.529
455,238.16243,245.67413
456,220.24916,242.38013
457,219.71791,246.77618
458,223.57956,241.88358
459,226.44835,241.75995
460,237.00266,244.75183
461,215.0926,249.0901
462,221.48969,243.67786
463,220.603,244.77086
464,221.7639,243.24232
465,219.35597,248.72327
466,234.69319,243.42558
467,233.34164,243.4853
468,238.74033,245.07089
469,223.41493,243.34299
470,225.67296,244.55896
471,229.15259,244.84811
472,249.67911,248.63199
473,228.8064,242.51476
474,221.64555,242.3481
475,235.48463,244.19125
476,220.68007,249.91551
477,216.81284,241.29283
478,222.89755,245.20966
479,217.71272,246.1809
480,219.9797,249.69554
481,234.82886,243.98875
482,228.67502,242.7447
483,219.36081,242.59212
484,218.54436,249.21666
485,221.44759,249.87418
486,223.38824,243.5856
487,221.67459,247.39616
488,244.1435,247.72733
489,218.83762,241.83807
490,239.04678,245.21243
491,233.40118,244.89163
492,240.4571,246.0087
493,221.90851,244.48288
494,230.1769,242.37303
495,223.1176,240.83167
496,224.95758,245.61095
497,225.77547,243.14413
498,219.0024,243.19456
499,217.34323,242.9745
500,218.12473,247.60712
501,213.22258,243.01598
502,222.41614,243.8933
503,216.11043,245.53494
504,220.08817,239.08945
505,242.30814,246.02873
506,233.96394,244.63757
507,238.06291,245.46756
508,222.06514,245.5271
509,224.96266,242.56343
510,220.44356,244.22385
511,232.76405,243.65747
512,235.22923,243.88457
513,218.21342,245.6669
514,219.29329,249.5459
515,220.25026,243.84016
516,242.06528,246.4271
517,223.93419,243.23058
518,218.17908,246.94508
519,220.33229,242.17036
520,242.0663,246.76999
521,229.0747,244.17467
522,245.9978,248.3509
523,225.51465,243.7877
524,225.41542,242.65556
525,228.95164,242.79019
526,217.3624,248.26187
527,231.7768,243.41844
528,241.20427,246.01341
529,231.67055,242.52965
530,226.46765,242.1025
531,240.08789,246.4922
532,228.70662,243.45856
533,243.90656,248.1268
534,218.85468,244.55968
535,227.56389,242.5176
536,231.27794,244.21698
537,218.03395,244.84258
538,243.20091,246.54568
539,240.99834,245.64764
540,219.25212,247.47536
541,222.93915,243.6565
542,224.94499,242.12773
543,231.73727,244.79245
544,222.54338,247.43114
545,216.76569,245.11208
546,248.92758,248.47328
547,222.18977,248.42256
548,223.84656,244.18866
549,220.90102,248.9809
550,218.72842,249.91525
551,219.4199,247.97255
552,232.70253,243.78421
553,237.61243,245.0054
554,230.28214,242.8999
555,224.74306,241.63162
556,222.4805,243.03348
557,218.1283,247.3761
558,225.46634,244.21448
559,215.4703,244.84114
560,222.99744,244.81651
561,221.3123,244.19383
562,219.07475,242.15524
563,240.76593,245.43369
564,222.87575,246.5605
565,223.31485,243.11299
566,218.75482,247.55591
567,221.40526,246.22708
568,220.35353,244.15335
569,219.52989,247.73827
570,236.50949,244.26643
571,223.04555,243.80153
572,228.46086,244.36131
573,246.68793,247.69838
574,241.95882,245.57082
575,221.8245,242.08139
576,218.67455,247.41455
577,219.44603,246.39655
578,235.3801,243.63046
579,226.57045,243.6919
580,220.10779,242.95317
581,235.50043,244.22691
582,217.51624,242.38916
583,223.15776,242.24745
584,243.34473,246.02135
585,218.89986,246.11855
586,216.12926,248.02084
587,217.5665,246.00348
588,218.58298,249.39383
589,219.34288,244.17711
590,223.86426,241.84712
591,226.11969,245.37057
592,225.88518,242.4477
593,229.55745,242.78998
594,222.39392,241.11649
595,222.54964,246.02284
596,219.85054,246.25606
597,222.54628,244.86794
598,220.52332,245.83119
599,218.90536,247.55156
600,247.80513,248.36115
601,218.75697,248.1812
602,223.43887,245.46223
603,226.25656,241.98544
604,225.63069,241.09421
605,237.96019,244.89935
606,215.82458,242.03197
607,220.69295,247.92058
608,221.06409,249.64444
609,224.65976,241.9982
610,217.9396,245.0326
611,216.49086,249.85846
612,214.669,246.44699
613,218.24046,247.36023
614,222.12523,246.51962
615,220.38528,243.12592
616,226.72285,241.6479
617,216.8884,247.48035
618,227.74652,241.46394
619,215.76927,246.72115
620,243.11264,247.2485
621,231.71567,244.36751
622,223.01222,247.43202
623,223.52136,245.74178
624,225.12419,241.57594
625,239.96542,245.41656
626,217.90906,244.1119
627,234.9917,244.88234
628,219.09952,248.71335
629,218.86377,244.99757
630,220.33113,249.66536
631,229.61862,243.1907
632,235.62639,246.5246
633,219.92415,241.45192
634,242.75322,246.74997
635,218.56795,242.26399
636,241.3702,246.44354
637,221.99564,245.73769
638,226.76367,242.6868
639,225.9855,242.8334
640,239.30486,245.45552
641,222.09766,243.8441
642,231.99493,243.57356
643,246.55388,247.59084
644,215.4759,242.37704
645,237.06212,244.58745
646,228.51141,242.70215
647,223.60577,245.77855
648,248.52611,248.07076
649,220.40434,243.10927
650,226.9069,245.02849
651,218.91321,246.32874
652,249.33455,248.2907
653,219.51555,247.92856
654,224.05052,240.92747
655,218.93236,245.9134
656,216.25128,243.74371
657,216.66087,243.88652
658,247.50288,248.62401
659,233.57594,243.40062
660,222.44113,243.36601
661,225.17464,241.75293
662,218.366,247.70546
663,218.09842,241.78929
664,229.97108,242.75134
665,222.44882,240.68488
666,224.63657,242.96172
667,220.06143,244.91257
668,232.01695,243.51317
669,217.43585,244.95963
670,227.04321,243.97124
671,220.9315,241.58907
672,217.8845,243.86111
673,229.09106,241.953
674,219.66295,241.95064
675,220.33069,241.42125
676,215.86572,245.28491
677,219.8625,247.68478
678,227.24196,241.49178
679,226.24133,243.90561
680,230.62741,247.4396
681,220.09431,241.82448
682,244.65591,247.82387
683,225.9393,243.28246
684,219.34523,242.03809
685,221.90201,244.87527
686,225.66447,241.55252
687,221.264,243.41426
688,218.50954,247.74773
689,222.26424,242.85806
690,220.61789,248.78687
691,223.13097,240.41763
692,236.57565,244.30008
693,232.47722,244.28946
694,240.37488,245.62746
695,233.68155,243.23929
696,226.107,245.09398
697,226.52145,245.33038
698,220.83565,244.07956
699,235.85966,245.20181
700,221.53783,245.85808
701,238.39078,244.4695
702,218.08986,249.53879
703,214.96036,248.7234
704,218.60786,248.89493
705,243.64119,245.94576
706,234.53238,244.429
707,233.24443,243.41669
708,236.87566,244.9861
709,227.42737,242.89629
710,218.18958,242.30867
711,224.89975,248.6471
712,231.44363,243.99457
713,217.58173,245.4891
714,228.82768,242.66977
715,217.05438,247.91925
716,226.60019,243.08008
717,216.15134,249.86627
718,226.24802,241.16158
719,218.71727,242.13434
720,243.17397,246.98819
721,216.40654,248.97424
722,222.9088,243.09476
723,223.20193,243.91283
724,222.60706,243.78568
725,217.90483,242.14359
726,220.97975,245.35194
727,218.59566,244.75557
728,216.59111,239.78886
729,219.57657,249.90054
730,220.82474,243.78708
731,234.4284,244.37141
732,235.72748,244.1906
733,224.9329,242.83572
734,242.7604,246.31094
735,226.90916,244.28865
736,226.247,243.84862
737,223.9434,242.95146
738,222.46991,244.78973
739,215.97768,246.04216
740,217.79457,246.0493
741,224.91446,241.47049
742,224.11494,242.7268
743,216.84111,243.24802
744,219.73474,247.19594
745,216.45833,249.64058
746,216.5737,243.24539
747,218.29794,245.30559
748,216.62645,247.17493
749,227.94597,241.89139
750,225.71051,243.83395
751,219.25937,244.57521
752,220.91872,245.63849
753,223.04272,243.47948
754,219.45583,247.33362
755,239.1609,245.76335
756,229.02356,241.86006
757,220.23518,249.10435
758,229.68466,242.24364
759,242.87645,246.30115
760,220.37112,243.30103
761,218.7525,248.71945
762,226.59964,242.91957
763,237.33974,244.89949
764,219.58467,245.47865
765,231.04625,242.54617
766,228.17506,242.50046
767,226.2061,241.73737
768,229.1634,244.20213
769,224.47551,243.34317
770,224.0169,239.82295
771,243.10757,246.47864
772,217.38509,246.87569
773,220.42409,247.7927
774,232.94662,243.47438
775,219.49525,243.24374
776,241.62962,246.01132
777,248.428,248.17636
778,219.51382,249.28278
779,220.41086,242.91422
780,218.42714,242.2324
781,223.72437,244.45706
782,218.44928,244.18422
783,239.49022,245.66386
784,228.8241,242.2575
785,223.49693,241.92053
786,220.57658,240.27242
787,217.71188,249.7831
788,231.49309,244.09222
789,229.4144,242.20424
790,217.27281,247.89537
791,222.85152,244.78593
792,232.50117,243.80574
793,217.0416,242.25848
794,232.24648,244.39667
795,233.22398,243.36287
796,227.65216,242.15498
797,225.39206,244.20882
798,222.02586,244.24619
799,238.3765,245.56271
800,220.21913,247.89967
801,221.86652,247.75752
802,236.36057,244.51033
803,226.1427,241.21146
804,220.49773,243.79485
805,243.69136,246.81554
806,238.65251,244.88669
807,221.78583,244.39452
808,222.66365,241.80252
