,k1,k2,k3,a1,a2,a3,g1,g2,g3,n1,n2,n3,b1,b2,b3
72,207.80228,72.67807,225.47949,35.41884,22.335922,34.531357,4.4755554,1.6656698,2.644789,4.0864825,3.0321414,4.4688854,23.927507,41.704803,25.243887
73,249.19743,73.15306,211.90683,35.67195,27.291496,35.660446,1.0438391,0.3940718,4.495659,4.95954,1.9067297,4.768568,23.789743,45.29927,26.31307
74,222.66386,65.527054,217.54295,35.721798,25.821262,35.670353,4.2716413,1.1404468,4.138456,4.4094305,2.0912635,4.7726283,23.723722,42.622284,25.086456
75,240.26237,82.75566,204.49771,35.964417,23.098112,37.272545,0.3954146,0.9062645,4.091082,4.624031,2.3987355,4.6848154,24.022903,39.802006,25.160591
76,222.84227,54.81195,224.94165,36.6503,29.88341,33.754097,3.5627913,0.47970757,3.074831,3.6266925,1.8824558,4.541833,23.76451,40.160126,24.509983
77,213.81052,55.11722,230.32285,39.958466,25.046822,33.393333,3.3288465,0.032371957,2.5359597,3.3058705,1.4205751,4.83469,23.541416,41.67097,25.043423
78,249.69258,51.79796,199.86305,35.882904,33.311726,38.29978,1.776674,0.45601818,4.106976,4.8926196,1.5918349,4.2355814,23.450695,40.251793,24.536716
79,221.97633,63.293648,236.05801,38.777924,24.301365,34.106434,3.506085,1.2519704,2.4650593,3.5030622,2.1045485,4.783246,23.141674,41.143047,25.064049
80,215.14154,65.62735,207.84897,39.67183,25.555779,39.350563,2.7703648,0.18078698,3.4611616,3.5226073,1.934232,4.4798985,23.631376,44.859745,25.347094
81,238.0921,74.254074,231.48898,38.325714,21.655819,37.164417,2.9245334,1.748857,3.9061882,4.2532644,2.7335334,4.6440954,24.118956,42.903503,24.795017
82,214.29031,70.38838,233.00325,36.9057,21.016472,38.908447,4.1344223,0.7043814,1.9539393,3.8388762,2.2494075,4.198575,23.961,41.844044,25.170452
83,228.58913,65.830795,247.13307,37.53407,22.090967,32.374973,2.333001,2.075583,0.3845303,3.8448105,2.9746697,4.3324666,23.748577,42.803368,25.311821
84,236.51648,72.195526,219.59761,36.452053,22.700466,36.429718,3.0606394,0.9045983,3.3825502,4.4171543,2.4409673,4.934166,23.165712,38.789043,25.808311
